"SampleID","Year","Population","Pco1","Pco2","Pco3","Pco4","Pco5","Pco6","Pco7","Pco8","Pco9","Pco10","PC11","Latitude","Longitude"
"ALS18_2",2019,"Alsum18-2019",-0.027988039245724,0.00922165825659552,-0.0143827075907907,-0.00197866349330316,-0.00387977893034265,0.0150493751855498,0.00167360564942542,-0.00591426815375021,0.01367388727175,0.021477931693655,-0.0154371335591599,43.21723,-90.16774
"ALS18_3",2019,"Alsum18-2019",-0.0231332991109264,-0.0127805392299308,-0.0166523823698007,0.0051971184907314,-0.00436929263990625,0.0196005017174621,-0.0121285034226129,-0.00175965634234185,0.00306366790012073,0.02063136512213,-0.0129600396953906,43.21723,-90.16774
"ALS18_5",2019,"Alsum18-2019",-0.0197374536321557,-0.0137201773004469,-0.00560174310782373,-0.0144434469360829,-0.00445077477560258,-0.000626493440546511,0.00128913329753635,0.00789114230211974,-0.00631274402987996,-0.0115353123795733,0.0022197251098642,43.21723,-90.16774
"ALS18_6",2019,"Alsum18-2019",-0.0217373169687792,-0.0136922365340925,-0.0161148647812927,0.00989362002846159,-0.000902679191722137,0.00519522310099637,-0.00016406083425559,-0.00666414611470426,0.00149008699565659,0.0198571663194329,0.0046519881437377,43.21723,-90.16774
"ALS18_8",2019,"Alsum18-2019",-0.0200155825763811,-0.0126424116960752,-0.014439900490239,0.0091632887543988,0.00628066623575986,0.012121203904212,-0.00178681533316121,-0.0149916284818987,-0.0109093630854945,0.0217878740760673,-0.00812233848536306,43.21723,-90.16774
"ALS18_9",2019,"Alsum18-2019",-0.0218139119139327,-0.0125682635671527,-0.0150772426753032,0.00754727821902824,0.000863676150230919,0.00641539690051071,-0.00783849912659578,0.00523760500277717,-0.00391686798704435,0.0182134205438784,-0.0127224365432202,43.21723,-90.16774
"ALS18_10",2019,"Alsum18-2019",-0.0215173594692991,-0.0117633258370573,-0.0144049531053105,0.00500339614843116,-0.00638496256070087,0.0106166161290321,1.50786442600648e-05,-0.0140082892843649,0.00295232713933233,0.00103163904080022,-0.0193609087801659,43.21723,-90.16774
"ALS18_13",2019,"Alsum18-2019",-0.0180469210327289,-0.0149336658927542,-0.0113087009580665,-0.00700583877625717,0.000800513890328857,-0.00256474273997353,-0.00710799100668019,-0.0101892615501301,-0.00930088687465338,0.00589198639976983,0.010536007229783,43.21723,-90.16774
"CPB2015_54A",2015,"Alsum25-2015",-0.0232350661430349,-0.0185839461945328,-0.0140827082255394,0.010428026041734,0.0426216488911938,-0.00165685855264882,-0.00329270612424853,-0.0112396027457566,0.0304077883940637,-0.00994592878197238,0.0229945931410171,43.209314,-90.147798
"CPB2015_54B",2015,"Alsum25-2015",-0.0222351549044043,-0.0193768418579333,-0.0159356500306802,0.0253374372796579,0.12934716348849,-0.00945084024640347,-0.00684057375947958,-0.00579156642681425,0.0438207555524914,-0.0245845299422093,0.0106014378980201,43.209314,-90.147798
"CPB2015_54C",2015,"Alsum25-2015",0.00606171753435038,-0.0109372885345318,-0.000869928760294606,-0.00411448252099313,0.000130603682747493,0.0150741315947274,-0.00513984787010189,0.00387346732798933,0.000428171065586168,-0.0116680715757589,-0.00843797856287633,43.209314,-90.147798
"CPB2015_54D",2015,"Alsum25-2015",-0.0017131804367976,0.0137364906088015,0.00704247559111656,0.00163742702857233,0.0117192593825089,0.00782215741655181,-0.013280826807314,-0.00100430632546901,0.00526910513222273,0.00290142824946696,0.0147726222273303,43.209314,-90.147798
"CPB2015_54E",2015,"Alsum25-2015",-0.0150831607221031,-0.0134383276024849,0.0133190565749756,-0.00526480486984421,0.00549519636836745,0.0220397437399773,-0.00765227843734221,0.00612853148607455,-0.015256812239247,-0.00356388354548316,0.0132823597605808,43.209314,-90.147798
"CPB2015_54F",2015,"Alsum25-2015",0.0295809640067956,-0.00486445760649152,0.0195272875861182,0.00703393219983941,0.00613061318707689,0.0196640904343422,-0.0248437576249511,0.0150659395848278,0.0222697323771673,0.00627236701067727,0.0211762847180258,43.209314,-90.147798
"CPB2015_54G",2015,"Alsum25-2015",-0.0188334940313447,-0.0210173970541464,0.0128994586251813,-0.0177797495993451,-0.0288159392466042,-0.0307858640309989,-0.154174505408555,-0.0319704762704809,0.0213805059875658,-0.0601035205298389,-0.0354576291328631,43.209314,-90.147798
"CPB2015_54H",2015,"Alsum25-2015",-0.0176801394237548,-0.0212960750460357,0.0201187806507045,-0.0180216104088536,-0.0299992689705145,-0.0315362841947826,-0.16333136991199,-0.0338753568771213,0.0233671780524488,-0.0639003860044477,-0.038399974817568,43.209314,-90.147798
"CPB2015_287A",2015,"Alsum25-2015",-0.0148099596143545,-0.0132559250602053,0.0139576905385289,0.00235507487031829,0.000862094174937854,-0.00198774737259962,-0.00366257490774592,0.0226514186760073,0.0110154849685432,0.00786413000823667,-0.0108925630400692,43.209314,-90.147798
"CPB2015_287B",2015,"Alsum25-2015",-0.0248208794350655,0.017731026976396,0.00913966862396139,0.00294396513990013,-0.00729423455581565,0.00995757174328724,-0.00411129738596959,0.0174177764259186,0.00968076950274516,0.0161018659547785,-0.0423554109373305,43.209314,-90.147798
"CPB2015_287C",2015,"Alsum25-2015",-0.0130873497090859,-0.0143466645936532,-0.000555577668616155,-0.00697837653577252,-0.00115909815320817,0.0150530054260919,0.00690471359218634,-0.00682273217129389,-0.0178667547049075,-0.00474040897919812,0.00641770475588472,43.209314,-90.147798
"CPB2015_287D",2015,"Alsum25-2015",-0.00832418150789584,0.0158210382929732,-0.0111823343673503,-0.00049624110121689,0.00175701606242604,0.0081115626139884,0.00773885526012926,-0.00473712076476859,0.00222426158321082,0.000873459691065686,-0.0105636975902145,43.209314,-90.147798
"ALS18_2023A",2023,"Alsum18-2023",0.0036943820826101,-0.00489525763967905,0.00386564543110299,0.00723265442883979,-0.0028584218112683,0.00902250385391022,0.000622806327165009,-0.0148127002805746,0.00065741460912811,-0.00343880208833663,0.0114548129797274,43.21723,-90.16774
"ALS18_2023B",2023,"Alsum18-2023",-0.0101615283730612,-0.0121085261260582,-0.00489438733349871,0.000666267621756035,0.00068148638488299,0.0133275291536968,-0.0073149599935099,-0.00595706323665158,-0.00511410507747219,-0.00127792940301018,0.0200010828280858,43.21723,-90.16774
"ALS18_2023C",2023,"Alsum18-2023",0.0106784383302762,-0.00754858974925348,0.00922991777876528,0.00814814615863794,0.00747076844051394,0.00600792209965032,-0.00543658972823669,0.0077546509453338,-0.00917727940680948,0.0111267346661761,-0.00209965850637008,43.21723,-90.16774
"ALS18_2023D",2023,"Alsum18-2023",-0.0238271513144231,0.0110066607087812,-0.00125355598733395,-0.0243526896156878,0.00852187184929171,0.0183357188831593,0.00281828418204896,0.0129834719164662,-0.0159559395326937,-0.0041025300467931,0.000272103732764358,43.21723,-90.16774
"ALS18_2023E",2023,"Alsum18-2023",-0.0183246988984668,-0.0122193331154071,-0.00276754031114578,0.0132890222179234,-0.00324491416222543,0.0101364828334514,-0.0028911512840987,-0.0046856906902608,0.00348672791809755,0.0182557597239395,-3.44702449027752e-05,43.21723,-90.16774
"ALS18_2023F",2023,"Alsum18-2023",-0.0246353138455639,-0.0172723529402159,-0.0106138760872621,0.0299661928614168,0.158564335032328,-0.0161528749140742,-0.00603186222396313,-0.000211953162164101,0.0366843870617758,-0.0267072129704463,-0.00841522008065393,43.21723,-90.16774
"ALS18_2023G",2023,"Alsum18-2023",-0.020874119772512,-0.00916083570076059,-0.0120682515528655,0.0258146186138844,0.147668539416369,-0.0112261789320737,-0.00661097310138812,-0.00171428570465262,0.0362533448157068,-0.0214686144214618,-0.0106335404415495,43.21723,-90.16774
"ALS18_2023H",2023,"Alsum18-2023",0.00440302402171558,-0.00767390911491261,-0.0078092311101266,0.0108169885287069,0.00421277807723174,0.00706131257909405,-0.00595033694172343,-0.00439244060741956,-0.0148842313779239,0.00423407584169214,-0.010457684438725,43.21723,-90.16774
"ALS59_1",2019,"Alsum59-2019",-0.0258615212183036,0.011804397495386,-0.0135500133505096,-0.0153405502900137,-0.000816613778778878,0.0171049020094075,-0.0016536562645815,-0.00578933746070689,-0.00730755181099167,-0.00737372907674502,0.022351878221647,43.209921,-90.207351
"ALS59_2",2019,"Alsum59-2019",-0.0214149928785077,-0.0116453215363109,-0.0123388964511903,0.00688672526148813,0.00074466380240906,0.0107940281069195,-0.00644513747433929,0.00344588643191328,-0.0124656982468911,0.0205866949233922,-0.0203369903527851,43.209921,-90.207351
"ALS59_4",2019,"Alsum59-2019",0.0284730282956868,-0.000377809001757299,-0.0247827484775821,0.0199444898114023,0.00541504782790319,0.00863345598921812,-0.000640531070462233,-0.0022604470253808,0.000565085917039441,0.00733116196280592,-0.0194813868107354,43.209921,-90.207351
"ALS59_8",2019,"Alsum59-2019",-0.0130092167699274,-0.011216655431024,0.000158665772053098,0.00100735959969808,0.00861381092803772,-0.00281313543748175,-0.00328157922050429,0.00279566819423442,-0.0166772097404868,0.00667192034692721,0.00141098067796813,43.209921,-90.207351
"ALS59_9",2019,"Alsum59-2019",-0.019621087142875,-0.0147174295766888,0.00602717091079557,0.0136182629679522,-0.00554570286096385,0.0166530694949604,-0.00868155890274626,-0.00615134939537124,0.0118728811325096,0.0278279289995264,0.0121256223531894,43.209921,-90.207351
