"SampleID","Year","Population","Pco1","Pco2","Pco3","Pco4","Pco5","Pco6","Pco7","Pco8","Pco9","Pco10","PC11","Latitude","Longitude"
"ALS18_2",2019,"Alsum18-2019",-0.401224819845295,0.214850431620591,-0.281843906290734,-0.090596703727615,-0.0383753571336548,0.0503922972292264,0.0304922304435599,0.0279677972901776,-0.104230536112004,-0.105155382711946,-0.16485079742006,43.21723,-90.16774
"ALS18_3",2019,"Alsum18-2019",0.201377753999646,-0.26631755603152,-0.416587034655953,-0.083621111894065,0.131635122766781,0.0274646302158366,0.0303752995362061,0.0896179373551464,-0.0690973649946407,-0.163290269712745,-0.0259596466961214,43.21723,-90.16774
"ALS18_5",2019,"Alsum18-2019",0.217390284022445,-0.0405277698344685,0.0578980737009106,-0.239547083636253,0.14304496227383,0.168920523884858,-0.102621361235782,0.0768058600214494,0.140484860195522,0.17726491206842,0.229610646534543,43.21723,-90.16774
"ALS18_6",2019,"Alsum18-2019",0.195785396544657,0.158477874352104,-0.232544057177681,0.113553327141984,-0.0297808193615463,-0.0174615075399421,0.0374996299612853,0.0909293496976436,-0.0484992929971594,-0.0462777481316475,-0.188788966450456,43.21723,-90.16774
"ALS18_8",2019,"Alsum18-2019",0.209033776103237,-0.00556067993764879,-0.270210125925779,0.174379381214371,-0.136961782305294,-0.0481771509781435,0.083114912504592,0.10045953961668,-0.0946911076782599,-0.0140651282164013,0.026068658858474,43.21723,-90.16774
"ALS18_9",2019,"Alsum18-2019",0.186554992859271,-0.21824055758465,-0.30106280346693,0.0136462225099438,-0.129152131647079,-0.00654788714439064,0.0365098145881708,0.125424130537488,-0.120756121379754,0.00184478596590339,-0.0365591189957961,43.21723,-90.16774
"ALS18_10",2019,"Alsum18-2019",0.204136953119606,-0.0700595428069048,-0.30520257786335,0.146321384756466,-0.0545740822252469,0.0702586130157867,-0.540773249291766,0.0385716752392586,-0.182819971250624,0.18205419845396,-0.0101921715989833,43.21723,-90.16774
"ALS18_13",2019,"Alsum18-2019",0.237493039600399,-0.012004652783996,0.004983386185599,0.248932611979988,0.0536537801625059,0.0170982243096629,-0.267965783171528,-0.0683761169062252,0.235051756757778,-0.0356014557998498,0.00239702853977931,43.21723,-90.16774
"CPB2015_54A",2015,"Alsum25-2015",0.236875587821994,0.289754939865347,-0.0685615676695919,0.079251522030419,0.118994544379296,-0.194172415776835,0.139565222045448,0.00223426068409301,0.0206713317385571,0.0870276669824396,-0.161936051412877,43.209314,-90.147798
"CPB2015_54B",2015,"Alsum25-2015",0.222322095703314,0.0181868258067627,-0.033661826282069,0.0427600633962714,-0.0626034553294142,-0.119664712195193,0.0599480538087064,0.021931944431151,0.0806666102034536,-0.0505538966150962,0.0642379233820829,43.209314,-90.147798
"CPB2015_54C",2015,"Alsum25-2015",0.235884140212014,-0.114831336706463,-0.0104465236466443,0.0394764897194046,-0.0902713122715454,0.0950831784884861,-0.0109660470256222,0.0784363165219836,0.169702478954425,0.180570693815449,0.124435619485811,43.209314,-90.147798
